Unit price,Quantity,Tax 5%,Total,cogs,gross margin percentage,gross income
74.69,7,26.1415,548.9715,522.83,4.761904762,26.1415
15.28,5,3.82,80.22,76.4,4.761904762,3.82
46.33,7,16.2155,340.5255,324.31,4.761904762,16.2155
58.22,8,23.288,489.048,465.76,4.761904762,23.288
86.31,7,30.2085,634.3785,604.17,4.761904762,30.2085
85.39,7,29.8865,627.6165,597.73,4.761904762,29.8865
68.84,6,20.652,433.692,413.04,4.761904762,20.652
73.56,10,36.78,772.38,735.6,4.761904762,36.78
36.26,2,3.626,76.146,72.52,4.761904762,3.626
54.84,3,8.226,172.746,164.52,4.761904762,8.226
14.48,4,2.896,60.816,57.92,4.761904762,2.896
25.51,4,5.102,107.142,102.04,4.761904762,5.102
46.95,5,11.7375,246.4875,234.75,4.761904762,11.7375
43.19,10,21.595,453.495,431.9,4.761904762,21.595
71.38,10,35.69,749.49,713.8,4.761904762,35.69
93.72,6,28.116,590.436,562.32,4.761904762,28.116
68.93,7,24.1255,506.6355,482.51,4.761904762,24.1255
72.61,6,21.783,457.443,435.66,4.761904762,21.783
54.67,3,8.2005,172.2105,164.01,4.761904762,8.2005
40.3,2,4.03,84.63,80.6,4.761904762,4.03
86.04,5,21.51,451.71,430.2,4.761904762,21.51
87.98,3,13.197,277.137,263.94,4.761904762,13.197
33.2,2,3.32,69.72,66.4,4.761904762,3.32
34.56,5,8.64,181.44,172.8,4.761904762,8.64
88.63,3,13.2945,279.1845,265.89,4.761904762,13.2945
52.59,8,21.036,441.756,420.72,4.761904762,21.036
33.52,1,1.676,35.196,33.52,4.761904762,1.676
87.67,2,8.767,184.107,175.34,4.761904762,8.767
88.36,5,22.09,463.89,441.8,4.761904762,22.09
24.89,9,11.2005,235.2105,224.01,4.761904762,11.2005
94.13,5,23.5325,494.1825,470.65,4.761904762,23.5325
78.07,9,35.1315,737.7615,702.63,4.761904762,35.1315
83.78,8,33.512,703.752,670.24,4.761904762,33.512
96.58,2,9.658,202.818,193.16,4.761904762,9.658
99.42,4,19.884,417.564,397.68,4.761904762,19.884
68.12,1,3.406,71.526,68.12,4.761904762,3.406
62.62,5,15.655,328.755,313.1,4.761904762,15.655
60.88,9,27.396,575.316,547.92,4.761904762,27.396
54.92,8,21.968,461.328,439.36,4.761904762,21.968
30.12,8,12.048,253.008,240.96,4.761904762,12.048
86.72,1,4.336,91.056,86.72,4.761904762,4.336
56.11,2,5.611,117.831,112.22,4.761904762,5.611
69.12,6,20.736,435.456,414.72,4.761904762,20.736
98.7,8,39.48,829.08,789.6,4.761904762,39.48
15.37,2,1.537,32.277,30.74,4.761904762,1.537
93.96,4,18.792,394.632,375.84,4.761904762,18.792
56.69,9,25.5105,535.7205,510.21,4.761904762,25.5105
20.01,9,9.0045,189.0945,180.09,4.761904762,9.0045
18.93,6,5.679,119.259,113.58,4.761904762,5.679
82.63,10,41.315,867.615,826.3,4.761904762,41.315
91.4,7,31.99,671.79,639.8,4.761904762,31.99
44.59,5,11.1475,234.0975,222.95,4.761904762,11.1475
17.87,4,3.574,75.054,71.48,4.761904762,3.574
15.43,1,0.7715,16.2015,15.43,4.761904762,0.7715
16.16,2,1.616,33.936,32.32,4.761904762,1.616
85.98,8,34.392,722.232,687.84,4.761904762,34.392
44.34,2,4.434,93.114,88.68,4.761904762,4.434
89.6,8,35.84,752.64,716.8,4.761904762,35.84
72.35,10,36.175,759.675,723.5,4.761904762,36.175
30.61,6,9.183,192.843,183.66,4.761904762,9.183
24.74,3,3.711,77.931,74.22,4.761904762,3.711
55.73,6,16.719,351.099,334.38,4.761904762,16.719
55.07,9,24.7815,520.4115,495.63,4.761904762,24.7815
15.81,10,7.905,166.005,158.1,4.761904762,7.905
75.74,4,15.148,318.108,302.96,4.761904762,15.148
15.87,10,7.935,166.635,158.7,4.761904762,7.935
33.47,2,3.347,70.287,66.94,4.761904762,3.347
97.61,6,29.283,614.943,585.66,4.761904762,29.283
78.77,10,39.385,827.085,787.7,4.761904762,39.385
18.33,1,0.9165,19.2465,18.33,4.761904762,0.9165
89.48,10,44.74,939.54,894.8,4.761904762,44.74
62.12,10,31.06,652.26,621.2,4.761904762,31.06
48.52,3,7.278,152.838,145.56,4.761904762,7.278
75.91,6,22.773,478.233,455.46,4.761904762,22.773
74.67,9,33.6015,705.6315,672.03,4.761904762,33.6015
41.65,10,20.825,437.325,416.5,4.761904762,20.825
49.04,9,22.068,463.428,441.36,4.761904762,22.068
20.01,9,9.0045,189.0945,180.09,4.761904762,9.0045
78.31,10,39.155,822.255,783.1,4.761904762,39.155
20.38,5,5.095,106.995,101.9,4.761904762,5.095
99.19,6,29.757,624.897,595.14,4.761904762,29.757
96.68,3,14.502,304.542,290.04,4.761904762,14.502
19.25,8,7.7,161.7,154,4.761904762,7.7
80.36,4,16.072,337.512,321.44,4.761904762,16.072
48.91,5,12.2275,256.7775,244.55,4.761904762,12.2275
83.06,7,29.071,610.491,581.42,4.761904762,29.071
76.52,5,19.13,401.73,382.6,4.761904762,19.13
49.38,7,17.283,362.943,345.66,4.761904762,17.283
42.47,1,2.1235,44.5935,42.47,4.761904762,2.1235
76.99,6,23.097,485.037,461.94,4.761904762,23.097
47.38,4,9.476,198.996,189.52,4.761904762,9.476
44.86,10,22.43,471.03,448.6,4.761904762,22.43
21.98,7,7.693,161.553,153.86,4.761904762,7.693
